total_tested,total_cases,total_deaths,total_recovered,newly_tested,new_cases,new_deaths,newly_recovered,days_since_first_confirmed_cases,final_date
111,3,0,0,0,0,0,0,0,2020-03-08
142,3,0,2,31,0,0,2,3,2020-03-11
163,3,0,2,21,0,0,0,4,2020-03-12
187,3,0,2,24,0,0,0,5,2020-03-13
211,5,0,3,24,2,0,1,6,2020-03-14
231,5,0,3,20,0,0,0,7,2020-03-15
241,8,0,3,10,3,0,0,8,2020-03-16
277,10,0,3,36,2,0,0,9,2020-03-17
351,14,1,3,10,4,1,1,10,2020-03-18
397,17,1,3,46,3,0,0,11,2020-03-19
433,20,1,3,36,3,0,0,12,2020-03-20
433,24,2,3,36,4,1,2,13,2020-03-21
564,27,2,5,27,3,0,0,14,2020-03-22
620,33,3,5,56,6,1,0,15,2020-03-23
712,39,4,5,92,6,1,0,16,2020-03-24
794,39,5,5,82,0,1,6,17,2020-03-25
920,44,5,11,126,5,0,0,18,2020-03-26
1026,48,5,11,106,4,0,0,19,2020-03-27
1076,48,5,15,47,0,0,4,20,2020-03-28
1,48,5,15,109,0,0,4,21,2020-03-29
1,49,5,19,153,1,0,4,22,2020-03-30
1,51,5,25,140,2,0,6,23,2020-03-31
1,54,6,26,157,1,1,1,24,2020-04-01
1,56,6,26,141,2,0,0,25,2020-04-02
2,61,6,26,203,5,0,0,26,2020-04-03
2,70,8,30,434,9,2,4,27,2020-04-04
2,88,9,33,367,18,1,3,28,2020-04-05
3,164,17,33,468,41,5,0,29,2020-04-06
4,164,17,33,792,41,5,0,30,2020-04-07
5,218,20,33,981,54,3,0,31,2020-04-08
6,330,21,33,905,112,1,0,32,2020-04-09
7,424,27,33,1184,94,6,0,33,2020-04-10
8313,482,30,36,954,58,3,3,34,2020-04-11
9,621,34,39,1340,139,4,3,35,2020-04-12
11,803,39,42,1570,182,5,3,36,2020-04-13
13128,1012,46,42,1905,209,7,0,37,2020-04-14
14868,1231,50,49,1740,219,4,7,38,2020-04-15
17003,1572,60,49,2135,341,10,0,39,2020-04-16
19193,1838,75,58,2190,266,15,9,40,2020-04-17
21307,2144,84,66,2114,306,9,8,41,2020-04-18
23941,2456,91,75,2634,312,7,9,42,2020-04-19
26604,2948,101,85,2779,492,10,10,43,2020-04-20
29578,3382,110,87,2974,434,9,2,44,2020-04-21
32630,3772,120,92,3043,390,10,5,45,2020-04-22
36090,4186,127,108,3460,414,7,16,46,2020-04-23
39476,4689,131,112,3386,503,4,4,47,2020-04-24
43113,4998,140,113,3637,309,9,1,48,2020-04-25
46589,5416,145,122,3476,418,5,9,49,2020-04-26
50401,5913,152,131,3812,497,7,9,50,2020-04-27
54733,6462,155,139,4332,549,3,8,51,2020-04-28
59701,7103,163,150,4968,641,8,11,52,2020-04-29
64666,7667,168,160,4965,564,5,10,53,2020-04-30
70239,8238,170,174,5573,571,2,14,54,2020-05-01
76066,8790,175,177,5827,552,5,3,55,2020-05-02
81434,9455,177,1063,5368,665,2,886,56,2020-05-03
87694,10143,182,1209,6260,688,5,146,57,2020-05-04
93405,10929,183,1403,5711,786,1,194,58,2020-05-05
99646,11719,186,1403,6241,790,3,0,59,2020-05-06
105513,12425,199,1910,5867,706,13,507,60,2020-05-07
111454,13134,206,2101,5941,709,7,191,61,2020-05-08
116919,13770,214,2414,5518,636,8,313,62,2020-05-09
122657,14657,228,2650,5738,887,14,236,63,2020-05-10
129865,15691,239,2902,7208,1034,11,252,64,2020-05-11
136638,16660,250,3147,6773,969,11,245,65,2020-05-12
144538,17822,269,3361,7900,1162,19,214,66,2020-05-13
151930,18863,283,3603,7392,1041,14,242,67,2020-05-14
160512,20065,298,3882,8582,1202,15,279,68,2020-05-15
167114,20995,314,4117,6602,930,16,235,69,2020-05-16
175228,22268,328,4373,8114,1273,14,256,70,2020-05-17
185086,23870,349,4585,9858,1602,21,212,71,2020-05-18
193645,25121,370,4993,8559,1251,21,408,72,2020-05-19
203852,26738,386,5207,10207,1617,16,214,73,2020-05-20
